,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
01324.dpt,10.993586333300813,9.42399467768712,6.89170205776629,11.970553048500273,6.970375249676825,6.0711977168237885,5.910969044547089,13.093434709949731,45.38264865919881,12.105048880573914,3.4726145881278687,3.78349592005472,5.711239846899573,5.002812194471602,4.227755610640058,4.343457998177945,2.0701879736000453,4.296976423670594,5.016034901813076,10.197901684838296,1.3505433038699144,3.449548292744896,4.337743427726493,2.950507819817795,6.172057822947396,0.6152451364032492,0.17000837675309155,0.20162564595496413,0.3148647131852391,0.06299500542873027,0.03292579367162374,0.15581841380843497,0.02443620674062985,0.040589214889650505,0.0273356383243768,0.036934071096242915,0.003866470630984109,0.00598419354073354,0.0407333482666129,0.0038512042072512687,0.001982351857727105,0.001231844820598127,0.0017157194276373744,0.0036651293378177074,0.0009024367539420819,0.014312546690146588,0.0005410596866960438
01326.dpt,27.852427123533918,60.899645562048214,25.40653849987946,95.4414424237272,8.370662197087443,77.16399360529907,6.727131261389651,27.536582525143018,690.1195157004026,314.1427720691695,287.9640177062155,58.8444226758432,5.72241311319905,26.20249612841389,2.082384799345512,7.874741517591236,2.817305914316358,3.361791713325636,4.579915831041426,16.07860494504897,2.369275964069927,35.809571995283626,28.533192235947467,19.69276870060102,5.661622644192939,0.5324495673975991,3.0547547726528417,2.2551350354951913,0.41988805239472715,0.16387631499417077,0.930246199639905,1.8772829569729579,0.32959204199736725,0.5017843587757738,0.45961415261586525,0.08212555274621236,0.1900453348865937,0.07921083270134566,0.15499493195080127,0.07999626781602565,0.0457903733047853,0.037750520432747625,0.04485514693396875,0.12129031646878574,0.0012219335517722474,0.021816674149214732,0.0010279356796629724
01327.dpt,9.541207433776815,14.363477540159241,6.452533996668662,17.682300769680865,6.338988163331828,5.100454217718472,6.7121836356109,11.159424984402705,53.397658736543654,32.361318141609885,3.782533303046397,4.298882182503855,2.8846224589775717,2.7702583441408923,15.119549482988019,13.550955594757294,1.640526190149611,1.4781912989925452,3.545735089145025,4.880470054141725,1.2920738070877307,2.10811214765727,6.686425071565825,11.882876636426603,2.782390786279774,0.6799367474581199,1.8198930617059275,0.16365026156671758,0.1587313466988849,0.08249677146791823,0.07553220280433304,0.3103576637884671,0.06638919659959819,0.04159294272563252,0.0661137167584176,0.09145226033804599,0.0728286497358237,0.03736711185614472,0.018315426816305824,0.003795968102640712,0.02652511996030671,0.006210483800001887,0.01014232563094164,0.0348847906965265,0.008949467352807883,0.028899466771318827,0.0011659368313345908
01328.dpt,8.534769161060574,13.862789706682905,6.518008901973023,5.520360810760561,6.856228409202391,4.427957485244604,10.288227400417863,2.554159309364566,63.15501179426623,7.775851446805424,2.5013746081941926,7.031736162975939,7.827992393117746,2.7548125317506313,6.003481617375069,4.45990737372812,1.2933355024263644,5.964090460081059,0.81774182342495,0.28234899866669205,0.5566590766137471,0.3890956696422321,1.1475490771401915,0.22602535926199563,0.37610067465244645,0.08214776022541259,0.029575927937628754,0.24881889304740756,0.2374667575455991,0.0036264174610093347,0.01049543520802465,0.011410823009699977,0.03424108096684941,0.12372449955665576,0.01754604680122973,0.04855885351487965,0.0017267164105092547,0.002725129788559766,0.0011007231984747623,0.026395288089368307,0.0005811128533129706,0.019786613922648022,0.0006637239832960606,0.010620646281832014,0.00022306001011618282,0.004315704623895855,0.00611214218120848
01329.dpt,14.143098339428054,15.730651112433033,16.785573500147933,10.032781077417273,4.994904807002943,9.342015227009696,7.668923953678338,3.9514096694732856,268.28546667400923,67.69419498710425,22.916268937245572,3.4476394264459955,61.20849866226309,1.9795463643196625,3.5883024076088113,25.80887381553105,0.8728360446994583,0.8701411614795456,12.28858777945091,1.4161607263532021,5.6838482031015545,8.190697968507703,13.244140509591169,7.017089239109614,4.597528822994117,0.5675068355069586,1.55532014468942,0.6843063661050364,1.640052241657671,0.013181073535139531,0.22423858314598222,0.6694512899385381,2.1161542009299135,0.02748797338665443,0.19286259827074037,0.9950420094772359,0.024953482835145757,0.2270994968248894,0.012721016316973421,0.04589997157556569,0.3105826662121043,0.07423852728577818,0.028552404920164642,0.001174870762051694,0.029339307570455664,0.09353610012725766,0.006445909183421028
01330.dpt,13.650373351639988,16.827105379494242,10.562713690415057,9.349948260896586,4.477765514117967,12.3910584157284,5.719493335774474,2.483939689730221,268.84878712043593,91.18283879568378,29.910476751973857,5.64754258207085,48.547126679661595,3.015160650581515,2.8527970272363152,12.362101750846074,0.6576277931957786,0.8303847212471349,14.276063371145437,0.6210559638484114,4.8143480720985865,8.661843092044586,11.618544598990207,3.090371049902452,4.6248882770520625,0.18788027087747827,1.2912107165921598,0.6975278878439239,0.8317401589369238,0.014718129392029988,0.060366726182063735,0.7357972643320643,1.5068042323922501,0.20203564864217294,0.04192661049880453,0.4696190726695607,0.015562853234800333,0.06270588543245803,0.06423749950920554,0.08391857257757707,0.3171254926647318,0.051317431062628205,0.023833064936291226,0.01426715670355272,0.004039821268842392,0.03336700422261796,0.007494422535905265
01331.dpt,8.70647216613348,9.75600007447702,6.613757936676742,5.104001439849277,4.936163621361345,4.640784109960716,10.54629331943626,5.731829045610455,59.745571797695064,13.320480521349808,2.341232901136861,2.202483411441434,3.378410683885379,3.172477410699503,3.538432580203354,1.197407490724754,0.7306809718157445,1.3718507768275974,2.525296632598798,0.6356016102966358,1.2313942912425846,1.742545878324163,2.990332191851761,1.082393301630899,0.73347143528114,0.27268186044215326,0.11783584097229916,0.02156428604714944,0.02549400261104584,0.00518696640750671,0.007066385741656744,0.12393267086537851,0.07819037114047711,0.07831182039602314,0.09271094960307169,0.012787493117351723,0.000590702524557174,0.005795578512853949,0.024951984293579255,0.03163590066485111,0.046464373110735036,0.026880770780760344,0.0002718633931672043,0.013343740633890544,0.0004149656399646817,0.0037367905073865115,0.00010903075189561129
01332.dpt,12.196297704685104,24.426255457667793,6.930041942230713,12.328079177717422,5.866365881379117,13.013157462025777,7.021235871413033,13.478887912178434,165.5468904458842,72.30286005459507,10.194034081834262,7.164253519346842,18.832201894030426,5.00711993341517,2.7530710484475334,7.060833100304121,1.479966947814419,1.5849222593235113,4.693042065949478,0.2906882992503024,3.9072981296856497,4.7401401942679255,7.603156522823097,2.0037165952650327,2.264712193437628,0.24545643702858366,0.4675433994881004,0.09003031217141633,0.048019692106985534,0.004888172830935789,0.008874531941623354,0.31491509470467016,0.29818738618483753,0.2271989528645958,0.14043298132870818,0.006458958475662802,0.0005342956322466064,0.026622847674998562,0.062360750045998614,0.03243527792437084,0.16670738395227924,0.035540252589116195,0.0036501191383793152,0.023674309062740706,0.001561101218412242,0.01545688541456891,0.0002467662949513505
01333.dpt,8.511479031124734,19.362932939827317,7.3159899941800415,9.783836487709596,5.549570256213362,4.155966687531983,9.205429403524692,12.302165770599547,143.30594665216987,23.864216311681922,4.07039650506675,1.8194798653557571,20.953416460360625,7.957362629881015,28.095463006125026,26.612712444683858,1.601657708279601,6.753842523328967,8.42552300212687,3.5104811358389982,1.8393405839116674,0.3541866633422933,2.5902561048769073,1.2411645446275044,1.9496850570687334,0.47491476953317535,0.21845415709492566,0.32087094556618956,0.1597470097799515,0.05358375345861133,0.09832886140905694,0.04326490449482656,0.030512512197205743,0.01565389149353902,0.1655826218667813,0.038995314190424346,0.034764463137100465,0.17850998443633492,0.00316164224696458,0.09037199769419846,0.07143223821714906,0.043296908937751066,0.0008990154838320885,0.0034463728502439617,0.002328345956291056,0.00020959028363565224,0.05673209232011589
01335.dpt,9.611660292920016,19.710098253746665,8.13814771797186,7.351590091948326,7.188171117661992,4.927694819711173,6.22710462066835,4.786935131296092,114.56165934729363,5.201949904530061,2.916615527773005,6.333463695329655,1.8029490575775449,1.2666728200287576,4.016859220650635,2.496826561153744,1.7496577253612289,5.002332280271067,2.0247425324027755,0.8600257614324476,1.0605643139575296,0.22139357081154976,1.118150246299189,0.33407066836967503,0.2612827574187587,0.5311299650569157,0.11560512358465291,0.08209713017918252,0.016374463178777887,0.0012680799522757358,0.01929119629933973,0.012183894459883104,0.11943282123299792,0.03368265263276404,0.0009604553144376693,0.008617853842668333,0.027883650757881795,0.09530992368149471,0.003973146816798501,0.001110829136421132,0.021416848581098713,0.010409488633733699,0.0005044991000702215,0.005992547812633142,0.0005923228730611019,0.0004162877421705069,0.0016524405115395657
