,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
01324.dpt,-57827.85076355453,-4454.450453027833,-280.264237070403,-1992.4719699170896,745.2053805201544,177.45636348297467,344.4531514605868,-616.0061702935778,645.7381791019733,-451.59781714957853,14.691458131314851,37.33820376278045,65.38666748756056,-68.53655057738395,-48.30517062120622,-38.712315294223686,2.884609589250923,-52.50310005962682,13.452425442186883,-46.89846716145927,3.1653150576373292,26.327389911670693,16.202275082876945,10.36427817022878,39.77664727767322,-1.0483084221428614,-0.5381753930105996,-0.6934460366814508,-0.932305502269771,-0.365540966410548,0.06915651082567333,-0.6034053520730608,-0.15151189534598689,0.28523189116994646,-0.02609748172138815,0.006840627356549694,0.04244140411317299,-0.055285839823318625,0.2907804957350149,0.05939926402846763,-0.04460307948446257,0.02187203497129089,-0.04771753739273416,-0.07149898605602642,-0.023659079791336454,-0.16970862149063057,0.0164221784259131
01326.dpt,71843.0719509452,-7710.90395316934,4523.71935364351,-1517.1862591083839,690.9277544617908,-2026.3271695074668,-271.45227025082767,-256.8721489077053,1371.1676563557455,-604.6755616911896,595.1083094031137,112.15042194835192,18.279193483186887,-33.26385289524551,-7.147012183581086,-23.121045472774433,-10.690894379875473,9.421056572726613,-10.626877323139786,-20.294664084180816,-7.102833288637054,20.27810233181409,14.668495475371296,14.881944038343105,7.8327625367219165,-1.2019094934825714,-3.7255464607835447,-2.8319690758731255,1.100421872956916,-0.6119130706918254,1.5581608758345273,-2.336158085316095,-0.9054760480149768,1.1064397790254672,1.048997638930606,-0.42098870469454597,0.6456835694892495,0.4142593105869136,0.5791706975107748,-0.41296258743927583,0.3091908320430761,-0.2798758798924731,0.30418603403090544,-0.5080725894690882,0.03796169029523364,-0.2111294581425605,-0.03373676563255891
01327.dpt,114.5763800833397,-4574.658943913273,241.82792149588985,-1028.3803650542209,471.2597721844149,-136.5870802255545,361.8687715792111,-187.9580263957368,492.7252983403145,-245.01197037059737,38.79524412102663,30.86521447444974,16.85334549943316,-2.8244983917133526,29.03221764001654,-59.262422072968505,5.0083982227444395,-4.0500848342306135,11.44070604278877,-10.088998100251416,3.075868283395498,-5.7272632956791805,14.377331293772208,22.016112203426676,6.225299842239397,1.252076375072582,-3.27480588336926,-0.5405550608509327,-0.16348727259389598,-0.4201756375549688,-0.26953594390972546,-0.9204512363214493,-0.21471114865503726,-0.17180770653355007,-0.1399191716208589,-0.22789964089562528,0.39581369041903636,0.2623419248203361,0.17229255599722293,0.012990685532332827,0.23150666998134403,0.10216967956439434,0.1384972314867521,-0.2686947979470802,0.11962774949798789,-0.24377560059931497,0.02634493733531358
01328.dpt,980.9905153428298,-2232.5405638805023,-644.5704516454755,-184.8552685958907,350.0071219040434,0.4736938363598384,301.5666820357813,-8.552505031842308,225.02712275312314,-66.05104359543192,-11.22034412883033,35.31647526715538,38.59938000178591,12.354121445144816,-17.586903692970253,12.661998592300833,3.3997208743371203,-8.407657439176402,1.6663237114563747,-0.6697533868706718,-1.0608856604145165,-0.34550011137740766,1.9246975220134601,-0.1756951282738943,-0.9352453344577457,-0.019500448193029575,0.10744790223387889,-0.7682127336346103,-0.7568845044699933,0.0686727696605052,-0.1272927422971992,-0.08557644756594164,-0.2636896817263841,0.5105441279112727,0.18502387288733285,-0.3192008483475897,0.055435801364121816,0.06526601328756759,-0.022123411710182613,-0.23215138205361344,-0.017140097434357852,0.20039627534443782,0.032030854759605404,0.1465205470069171,0.019235988720290826,-0.09302718189836832,-0.1109022075571628
01329.dpt,34172.10804725678,-2780.421776286088,2238.3146534051434,-313.3100287091132,134.65316039598503,-475.65752247934114,214.44537197211517,34.09965297534085,449.79572808254466,-266.65436026440153,114.55633974762105,23.78547911435997,139.3712923846778,-6.889494813991028,21.74747096581743,36.63957288776797,0.4553500786305921,1.3883803985282408,-17.984735963625692,-3.4501653371149015,-9.026108676910527,6.040988016196334,8.576232879811986,9.220379289961917,-6.817783020549072,1.4500174990784813,2.305497552229009,-1.4207478905444622,-2.6078896579263606,-0.15007918907648302,-0.7427258349660264,-1.3061297978958466,-2.5243057428044833,0.16798295527430732,-0.6486154395448189,1.822997707002966,0.2259211719042446,-0.7128401932369466,0.1543663631622781,-0.309272280748595,0.8124878142693764,0.3935070688779823,0.24197651119350105,-0.03962965545503604,0.2457558835848059,-0.4394532183116224,-0.1123807015426865
01330.dpt,26316.06329027817,-2296.6675639607547,1251.7334597101617,-223.63212194737946,-45.263887650846925,-468.0495013031294,122.61667181281034,5.350397825557862,465.9046826015444,-198.10153453684887,108.37106177430876,27.09511495690257,70.76347184152573,-10.447568008379346,8.372833930116549,19.741556597428602,0.4768602219380618,-1.7768025616364373,-14.469341170645004,-1.5648914077492773,-7.573814189336526,5.9878347205514535,7.707108700776493,5.020965964187133,-6.522201894134928,0.10450700152777986,2.027915525192091,-1.366101612309414,-1.6375327176477963,0.16613882856192116,-0.2138532843924775,-1.3561430420002762,-2.0417401429392874,0.6776797580851457,-0.003472055972024263,1.144040567579692,0.1770322324249386,-0.36520133915231723,0.3685845071615837,-0.4191729008273781,0.8141429374241769,0.32478475068104123,0.22054433212577432,0.16995903457569692,0.08776352952327819,-0.2607585011289917,-0.12217471853859853
01331.dpt,-1616.257307451762,-1793.006047548828,-729.610127036036,-164.4741284458226,135.09550755688778,-82.70474958614894,314.4224030328134,-65.91626106842047,269.7685194575453,-103.93333687867434,-5.457075323120067,0.9198911911627874,18.04219822215772,-14.552272523207218,9.832630919271747,-0.8811371775225475,-0.02617296799899365,-3.7821597609225637,-5.8886085245105315,1.253353594869456,-3.2557715794169555,3.0976949464906527,3.47537013676882,2.5559070569931897,-1.706236307584215,0.49237054457062546,0.4999844090149421,-0.17143083825829258,-0.18383385898376775,-0.026659903549822877,-0.020204764201289922,-0.5258048332362605,-0.41075539163799346,0.40797542940259696,0.45056726607832176,-0.12473962426464622,-0.015030134979833338,-0.09969641641547988,0.2261897662422123,-0.25522399864800094,0.30929891373817076,0.23385656544770916,0.01592021026039312,0.1644434464325415,0.025580290367806464,-0.08582817296693278,0.005919030336279029
01332.dpt,17895.319364381445,-2464.6983879684713,620.845761416391,-322.1389200483559,206.47442306520136,-398.99936656023345,131.5562502342863,86.7350360011809,291.54530473588017,-178.67066573959104,48.605444491087134,28.63198883612046,41.28104618195944,-13.720992092086144,6.7489056087679735,13.329222429225442,3.4982649254060663,-3.751628926409615,-6.67042118406854,0.7637289278950119,-5.559837449559775,4.235906208179914,5.316842869741777,3.195929136721585,-3.454025767680497,0.7579906905337346,1.112564482990128,-0.44356760748060586,-0.305796045184879,0.09331052111849333,-0.11104416137358897,-0.8571649011933635,-0.8189217246711695,0.6946819692976433,0.5544872824573257,0.08739097561601118,0.023604764768087167,-0.23379709505364543,0.35908600233088156,-0.2577059605684045,0.5852822863055077,0.2684257949255633,0.08514376470567472,0.21932771179376112,0.05501580819799744,-0.17698215206687823,0.01772274642009332
01333.dpt,4337.072644669587,-2088.1093566902337,584.2782046475268,-248.77876589601226,191.06273210423637,-11.21918188507262,187.15747862717728,61.634900305688824,301.95304002953,-88.7797958627115,24.9985641641269,4.115606248863378,51.1179659377818,24.082028959773446,-42.75677092160846,21.293624156197204,4.016780171833006,-8.750142370012625,11.06262716257556,-6.003998969417012,-3.4775781606994056,-0.8367046650254459,4.880877491122722,-2.9017614514760655,-3.3361078283361083,1.253061544095026,0.7401981694928594,-0.9355900386727678,-0.6120235299656085,-0.33632444340352946,-0.3976233831951466,-0.26974246423179804,-0.2265929675285001,-0.0028766433404277102,0.6098341432386678,-0.28480221299609193,0.2681281850190146,-0.6287698958081589,-0.06921723372309335,-0.4332942936449865,-0.3882722665445494,0.2979631996031202,0.03310456383606545,0.08228847748088859,-0.06669137209170282,-0.017220417242280035,-0.3404178445042209
01335.dpt,12212.407065421412,-2326.035233704795,-922.8293020797599,-206.15012862629973,300.12253408100173,134.76852673038817,134.01452743887458,43.83630521294779,287.15374651525747,-40.35916704790643,-16.724851531123157,29.844250558148527,5.228318585127074,0.8098103709718966,-9.7171489755666,6.5870483679508665,3.6912854337580963,-8.82007635646652,4.516185698072943,-2.0529150225636186,-2.5306939465686793,0.6952670961288416,2.019722819486109,-0.6107628144568933,-0.7382723354807864,1.3422282817976559,0.5091896548296992,-0.4081100756039246,-0.11011854767044946,-0.023052135403729326,-0.12626560570289871,-0.06380464003634086,-0.5125028126660526,0.26265462480237634,0.005214022559710147,-0.12295709029619839,-0.23933404217049442,-0.45670298432373474,0.08327033158562377,-0.04309499591813944,0.20891829636793507,0.14497058072482996,-0.025863164639591815,0.10970757938735638,-0.032109578351957005,0.024023479539934618,0.05598755396812658
