Sample,KL,Mdists,Zvals,Peak,Correlation
01324.dpt,4.1905947384872615,13.349599205233925,-1356.1517827667046,0.0060862754993865065,0.6798819220154797
01326.dpt,39.41787204522711,78.53419124736885,1419.4780253832937,0.045838646731364285,0.7981796748058251
01327.dpt,5.225922999719774,8.773145944460127,-93.59029636061507,0.0887401810138499,0.8460193939728716
01328.dpt,3.660584661945685,5.836387232785443,-25.83849131657225,0.15881675553123548,0.8813956588543745
01329.dpt,12.793602691205587,24.606558179111513,717.4849481962694,0.10256014834210125,0.858635351500711
01330.dpt,12.632805358687655,23.411052898804062,534.8858090424487,0.13006039793780994,0.8649963885170818
01331.dpt,3.382240935078055,5.046092242152542,-81.53351102404821,0.1549587289263532,0.873994586505002
01332.dpt,8.827872863894598,15.84142453846455,340.2580474226999,0.1938010765617616,0.871743904287665
01333.dpt,7.728458790682679,13.10339543816994,70.2564261542827,0.21762224663425167,0.8780902517351182
01335.dpt,4.686819652297162,7.722167801581797,204.88741043875152,0.2697836850830436,0.874447426030984
01336.dpt,5.953962911834258,10.092264286817851,17.209519399570684,0.30756901760607336,0.8773714098710963
01337.dpt,6.346998056556073,10.921748319062416,52.04462600830828,0.3173577205954374,0.8747255758042459
01338.dpt,3.8163536229727346,5.935497404057301,-19.20468109465047,0.3445360580252192,0.8761920222098267
01339.dpt,4.72872285415732,7.466548460981589,3.522458661124922,0.356500775437015,0.8775808973615605
01340.dpt,3.865351950878663,5.785370488271199,10.489278022256169,0.4152667341008814,0.8746049943912285
01341.dpt,3.3323180031336825,5.017680086690076,-10.349549983036155,0.4195751452566462,0.8746764149273253
01342.dpt,3.64575531560006,5.343421932216901,165.46881127784306,0.4432385576641076,0.8734569777134534
01343.dpt,4.634749542104767,7.643761346094895,219.27604133492017,0.48449897356297306,0.8728498594277316
01344.dpt,4.981156989588252,8.720990800819651,117.08528783573294,0.5020284449730904,0.8767120916209079
01345.dpt,9.40119095526768,17.27791502773929,239.0437213096705,0.5413665341923701,0.8707166254138152
01346.dpt,3.5230572823235176,5.338147066215068,-4.057673653220731,0.5711231534013909,0.8741817872613711
01347.dpt,3.9271617888909014,6.564046259480639,79.80239319944212,0.5827204703006653,0.8745615367626222
01348.dpt,3.7143594604706536,5.686953611901218,69.85827841846047,0.667589296101218,0.875335781243141
01349.dpt,4.071634596926736,6.606712300814469,6.403860462569784,0.6732795919467118,0.8726367002276021
01350.dpt,4.828410651769867,8.249952026701163,-38.6999186201327,0.6830760839358949,0.8766335534890537
01351.dpt,5.2641342518126235,8.983789294923449,70.21919021798281,0.729594639462485,0.872207208861014
01352.dpt,6.151947035644997,11.11936131318854,36.23009920609207,0.804254838201889,0.8719602736546407
01353.dpt,5.929380873836321,10.864749539570333,74.18386340222243,0.8565859968319423,0.872507553676587
01355.dpt,4.899684516777551,8.889306807343951,27.03335923547515,0.9115668965789305,0.8786197866452933
